,1979,,1980,,Jan.1981-Aug.1982,,Aug.1982-Nov.1983,,Nov.1983-Nov.1984,,Nov.1984-Nov.1985,,Nov.1985-Nov.1986,,Nov.1986-Nov.1987,,1988,1989,1990,1991,1992,1993,,,,,,,,,,1994,,,,,,,,,,1995,,,,,,,,,,1996,,,,,,,,,,1997,,,,,,,,,,1998,,,,,,,,,,1999,,,,,,,,,,2000,,,,,,,,,,2001,,,,,2002,,,,,2003,,,,,2004,,,,,2005,,,,,2006,,,,,2007,,,,,2008,,,,,2009,,,,,2010,,,,,2011,,,,,2012,,,,,2013,,,,,2014,,,,,2015,,,,,2016,,,,
Bulgaria,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,PF,PF,PF,3,3,9,3,5,7,5,8,43,PF,4,4,9,4,6,8,4,0,39,PF,7,4,9,6,5,7,8,0,46,PF,9,6,9,6,5,7,1,1,44,PF,7,5,6,3,5,7,2,1,36,PF,7,5,6,3,5,7,1,5,39,PF,6,5,5,3,4,5,1,1,30,F,4,3,5,3,4,5,1,1,26,F,9,11,9,29,F,10,8,12,30,F,10,13,12,35,PF,10,13,12,35,PF,10,12,12,34,PF,10,12,12,34,PF,10,12,11,33,PF,11,14,11,36,PF,11,13,10,34,PF,11,14,10,35,PF,11,15,10,36,PF,11,15,11,37,PF,11,16,12,39,PF,11,15,12,38,PF,12,16,12,40,PF,12,17,13,42,PF
Burkina Faso,PF,PF,PF,PF,PF,PF,PF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,PF,PF,10,5,6,7,3,8,0,1,40,PF,10,5,6,6,3,7,0,0,37,PF,10,5,6,6,3,7,0,0,37,PF,10,5,6,6,3,7,0,0,37,PF,10,5,6,6,3,7,0,2,39,PF,10,5,6,6,3,7,0,2,39,PF,10,5,6,6,3,7,0,3,40,PF,10,5,7,6,3,7,1,0,39,PF,9,16,14,39,PF,9,17,13,39,PF,11,15,13,39,PF,12,15,13,40,PF,11,14,13,38,PF,12,14,13,39,PF,13,15,13,41,PF,13,15,13,41,PF,13,15,13,41,PF,13,15,13,41,PF,13,16,13,42,PF,13,16,13,42,PF,14,17,13,44,PF,18,13,13,44,PF,16,12,13,41,PF,16,12,13,41,PF
Burundi,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,10,9,10,9,10,9,18,15,88,NF,10,9,10,9,10,9,15,16,88,NF,10,10,10,9,10,9,15,12,85,NF,15,15,15,15,5,10,5,5,85,NF,15,15,15,15,5,10,5,5,85,NF,15,15,15,15,5,10,3,5,83,NF,15,15,15,15,8,10,0,5,83,NF,13,13,14,13,8,15,0,4,80,NF,25,28,24,77,NF,21,32,23,76,NF,21,30,24,75,NF,21,29,24,74,NF,21,29,24,74,NF,22,31,24,77,NF,21,29,24,74,NF,21,30,24,75,NF,21,30,22,73,NF,22,30,22,74,NF,23,28,21,72,NF,23,28,21,72,NF,24,29,21,74,NF,24,29,21,74,NF,25,33,22,80,NF,25,37,23,85,NF
Cambodia,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,5,5,9,3,5,5,8,10,50,PF,6,6,9,8,5,5,6,15,60,PF,7,7,9,9,5,5,3,20,65,NF,7,8,15,15,5,5,5,5,65,NF,7,8,15,15,5,5,5,5,65,NF,7,8,15,15,5,5,2,5,62,NF,12,8,13,10,4,10,0,4,61,NF,12,8,13,10,4,10,1,3,61,NF,26,22,20,68,NF,19,21,24,64,NF,19,22,22,63,NF,17,24,21,62,NF,20,23,18,61,NF,18,21,19,58,PF,19,22,19,60,PF,19,23,19,61,NF,20,22,19,61,NF,21,23,19,63,NF,21,23,19,63,NF,23,24,19,66,NF,23,24,19,66,NF,23,27,19,69,NF,23,27,19,69,NF,24,27,19,70,NF
Cameroon,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,10,10,10,9,10,8,4,18,79,NF,10,8,10,9,6,9,8,18,78,NF,10,10,10,8,7,7,5,15,72,NF,15,10,5,15,7,10,5,5,72,NF,15,15,5,15,7,10,5,5,77,NF,15,15,5,15,7,10,5,5,77,NF,14,11,10,13,7,12,5,5,77,NF,13,11,10,13,7,12,1,4,71,NF,26,23,19,68,NF,25,22,18,65,NF,21,25,21,67,NF,22,25,21,68,NF,19,24,22,65,NF,20,25,22,67,NF,20,24,21,65,NF,20,24,21,65,NF,21,24,21,66,NF,21,25,21,67,NF,21,26,21,68,NF,21,24,21,66,NF,22,23,21,66,NF,22,23,21,66,NF,22,22,21,65,NF,22,23,21,66,NF
Canada,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,1,2,2,1,1,2,1,3,13,F,1,2,2,2,1,2,0,8,18,F,1,2,2,2,1,2,8,5,23,F,1,2,2,2,1,3,0,0,11,F,1,2,2,2,1,3,0,0,11,F,1,2,2,2,1,3,2,3,16,F,1,2,2,2,1,4,1,1,14,F,1,2,2,2,2,5,0,1,15,F,1,6,9,16,F,2,7,8,17,F,2,7,6,15,F,3,8,6,17,F,4,8,6,18,F,3,8,6,17,F,4,8,6,18,F,5,8,6,19,F,5,8,6,19,F,5,8,6,19,F,5,8,6,19,F,5,9,6,20,F,5,8,6,19,F,5,7,6,18,F,5,7,6,18,F,5,7,6,18,F
Cape Verde,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,PF,NF,NF,NF,NF,PF,F,5,5,2,2,5,5,5,5,34,PF,5,5,3,3,5,5,3,3,32,PF,5,5,3,3,5,5,3,3,32,PF,5,5,5,7,5,5,0,0,32,PF,5,5,5,7,5,5,0,0,32,PF,5,5,5,7,5,5,0,1,33,PF,5,5,5,7,5,5,0,0,32,PF,5,5,5,7,5,5,0,0,32,PF,8,10,12,30,F,8,11,11,30,F,8,16,12,36,PF,7,13,12,32,PF,7,12,13,32,PF,5,10,14,29,F,6,10,12,28,F,6,10,12,28,F,6,10,12,28,F,6,9,12,27,F,6,9,12,27,F,6,9,12,27,F,6,9,12,27,F,6,9,12,27,F,6,9,12,27,F,6,9,12,27,F
Central African Republic,NF,NF,PF,PF,PF,PF,PF,PF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,10,8,10,9,5,5,15,18,80,NF,10,8,9,8,5,5,10,10,65,NF,10,8,9,8,5,5,10,10,65,NF,12,12,12,12,5,10,0,2,65,NF,12,12,12,11,5,8,0,0,60,PF,12,12,12,11,5,8,0,0,60,PF,12,9,12,10,5,11,0,1,60,PF,12,9,12,10,5,11,0,2,61,NF,24,23,22,69,NF,20,28,19,67,NF,25,22,17,64,NF,23,22,18,63,NF,21,22,18,61,NF,18,21,19,58,PF,19,23,19,61,NF,19,23,19,61,NF,19,23,19,61,NF,19,23,19,61,NF,20,23,19,62,NF,20,23,19,62,NF,24,32,21,77,NF,21,29,22,72,NF,21,28,22,71,NF,21,28,22,71,NF
Chad,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,10,10,10,9,5,5,20,18,87,NF,10,9,10,9,7,7,10,10,72,NF,10,9,10,9,7,7,10,10,72,NF,15,15,15,15,0,10,0,2,72,NF,15,15,15,15,0,10,0,0,70,NF,15,15,15,15,0,10,0,5,75,NF,14,10,14,10,8,15,0,1,72,NF,14,10,14,10,8,15,0,1,72,NF,26,22,26,74,NF,20,26,21,67,NF,24,29,21,74,NF,23,29,21,73,NF,23,29,21,73,NF,23,30,21,74,NF,23,30,21,74,NF,24,31,21,76,NF,24,32,21,77,NF,23,31,21,75,NF,23,31,21,75,NF,23,31,22,76,NF,22,31,22,75,NF,22,30,22,74,NF,22,30,22,74,NF,22,30,22,74,NF
Chile,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,NF,NF,PF,F,F,F,2,5,4,2,2,2,6,7,30,F,4,5,5,3,4,4,0,5,30,F,4,5,5,3,4,4,0,3,28,F,4,5,8,5,3,4,0,1,30,F,4,5,6,5,3,4,0,0,27,F,4,5,6,5,3,4,0,0,27,F,4,5,5,5,3,4,0,1,27,F,4,5,5,5,3,4,0,1,27,F,7,9,6,22,F,8,8,6,22,F,8,7,8,23,F,8,10,6,24,F,8,11,7,26,F,10,12,8,30,F,10,12,8,30,F,9,12,8,29,F,9,13,8,30,F,8,13,8,29,F,8,14,9,31,PF,8,14,9,31,PF,8,14,9,31,PF,8,14,9,31,PF,8,13,8,29,F,8,13,8,29,F
China,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,10,10,10,10,8,8,18,15,89,NF,10,10,10,8,8,7,15,15,83,NF,10,10,10,8,8,7,10,20,83,NF,15,15,15,15,7,10,1,5,83,NF,15,15,15,15,7,8,1,5,81,NF,15,15,15,14,7,8,2,5,81,NF,15,15,14,14,7,8,2,5,80,NF,15,15,14,14,7,8,2,5,80,NF,26,31,23,80,NF,26,34,20,80,NF,27,32,21,80,NF,27,33,22,82,NF,27,34,22,83,NF,28,34,22,84,NF,28,35,21,84,NF,28,35,22,85,NF,28,34,22,84,NF,29,34,22,85,NF,29,34,22,85,NF,29,32,22,83,NF,29,33,22,84,NF,30,34,22,86,NF,30,35,22,87,NF,30,34,23,87,NF
Colombia,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,PF,PF,PF,2,2,8,7,6,6,8,10,49,NF,4,3,8,7,6,6,8,6,48,PF,5,4,8,7,6,6,8,10,54,PF,9,8,12,9,5,5,2,5,55,PF,10,8,13,9,5,5,0,5,55,PF,10,8,15,9,5,5,3,5,60,PF,10,8,14,9,5,5,3,5,59,PF,8,8,10,9,5,10,5,5,60,PF,11,30,19,60,PF,12,32,19,63,NF,12,32,19,63,NF,12,32,19,63,NF,13,32,16,61,NF,13,29,15,57,PF,13,30,16,59,PF,13,30,16,59,PF,14,30,16,60,PF,12,28,16,56,PF,11,28,16,55,PF,11,26,16,53,PF,11,27,16,54,PF,12,27,16,55,PF,13,26,17,56,PF,13,26,18,57,PF
Comoros,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,3,5,6,5,6,5,4,44,PF,10,3,5,6,5,6,5,6,46,PF,10,3,5,6,5,6,0,0,35,PF,10,3,5,6,5,6,0,3,38,PF,10,3,7,7,5,6,0,0,38,PF,10,3,7,7,5,6,0,0,38,PF,10,3,7,7,5,6,1,1,40,PF,6,3,7,5,6,9,0,2,38,PF,12,15,14,41,PF,9,20,14,43,PF,12,20,13,45,PF,11,18,15,44,PF,12,20,15,47,PF,12,21,15,48,PF,14,25,15,54,PF,14,21,15,50,PF,14,21,15,50,PF,14,19,15,48,PF,14,19,15,48,PF,14,20,15,49,PF,14,20,15,49,PF,14,20,15,49,PF,14,20,15,49,PF,14,20,15,49,PF
Congo (Brazzaville),NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,PF,PF,7,7,6,6,5,5,10,13,59,PF,10,7,8,5,5,7,6,5,53,PF,10,7,8,5,5,7,5,5,52,PF,10,7,8,5,5,7,0,3,45,PF,15,15,15,15,5,7,0,0,72,NF,15,15,15,15,5,7,2,1,75,NF,15,15,15,15,5,7,5,0,77,NF,15,12,15,9,5,14,0,1,71,NF,18,18,17,53,PF,18,20,17,55,PF,17,20,17,54,PF,17,17,17,51,PF,17,17,17,51,PF,17,17,17,51,PF,17,17,17,51,PF,17,19,17,53,PF,16,21,17,54,PF,16,21,17,54,PF,25,34,24,55,PF,16,23,17,56,PF,16,24,17,57,PF,24,31,24,79,NF,17,25,17,59,PF,17,25,18,60,PF
Congo (Kinshasa),NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,8,10,9,9,10,10,15,17,88,NF,10,10,10,9,9,9,10,18,85,NF,10,10,10,10,0,10,16,18,84,NF,15,15,15,15,5,15,3,1,84,NF,15,15,15,15,5,15,2,2,84,NF,15,15,15,15,5,15,5,5,90,NF,15,15,15,15,5,15,5,5,90,NF,13,10,14,12,9,15,5,5,83,NF,26,34,26,86,NF,25,35,22,82,NF,25,31,24,80,NF,25,31,25,81,NF,25,31,25,81,NF,24,32,24,80,NF,25,32,24,81,NF,25,32,24,81,NF,25,32,24,81,NF,25,32,24,81,NF,16,22,17,83,NF,26,33,24,83,NF,24,31,24,79,NF,17,25,17,59,PF,24,30,24,78,NF,25,32,25,82,NF
Costa Rica,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,1,1,2,2,4,3,1,2,16,F,2,2,2,2,4,3,6,0,21,F,1,2,2,2,4,3,0,4,18,F,2,3,2,2,4,3,0,0,16,F,2,3,2,2,4,3,0,0,16,F,2,3,2,2,4,3,0,0,16,F,2,3,2,2,4,3,0,0,16,F,2,3,2,2,4,3,0,0,16,F,7,4,6,17,F,4,5,5,14,F,7,7,5,19,F,5,7,7,19,F,5,6,7,18,F,7,7,6,20,F,6,7,6,19,F,6,7,6,19,F,6,7,6,19,F,5,7,6,18,F,5,8,6,19,F,5,7,6,18,F,5,7,6,18,F,4,7,6,17,F,4,7,6,17,F,4,6,6,16,F
Côte d'Ivoire,PF,NF,PF,NF,PF,NF,PF,NF,PF,NF,PF,NF,PF,NF,PF,NF,NF,NF,NF,PF,NF,10,6,7,6,10,7,4,11,61,NF,10,8,7,6,10,7,5,10,63,NF,10,8,7,6,4,7,12,20,74,NF,15,12,10,15,6,10,1,5,74,NF,15,12,10,15,6,10,1,5,74,NF,15,12,10,15,6,10,1,5,74,NF,15,13,13,13,5,10,0,5,74,NF,13,13,13,13,8,10,2,5,77,NF,22,25,19,66,NF,18,33,17,68,NF,19,29,17,65,NF,19,31,19,69,NF,18,28,19,65,NF,19,30,19,68,NF,20,27,19,66,NF,21,27,19,67,NF,21,26,19,66,NF,21,28,19,68,NF,20,31,19,70,NF,17,25,19,61,NF,15,21,19,55,PF,14,20,19,53,PF,14,19,18,51,PF,14,19,18,51,PF
Crimea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,38,26,94,NF,30,38,26,94,NF,30,38,26,94,NF
Croatia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NF,9,9,10,6,2,8,3,9,56,PF,9,9,10,8,2,10,3,5,56,PF,9,9,8,8,2,10,7,5,58,PF,12,12,10,12,2,9,1,5,63,NF,12,12,10,12,2,9,1,5,63,NF,12,12,10,12,2,11,1,3,63,NF,12,12,10,12,2,11,0,4,63,NF,10,8,8,9,2,11,1,1,50,PF,8,12,13,33,PF,8,12,13,33,PF,11,12,14,37,PF,11,13,13,37,PF,10,15,14,39,PF,9,14,14,37,PF,9,13,14,36,PF,9,15,14,38,PF,9,16,15,40,PF,9,17,15,41,PF,9,16,15,40,PF,9,16,15,40,PF,9,16,15,40,PF,9,16,15,40,PF,9,18,15,42,PF,9,17,15,41,PF
Cuba,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,10,10,10,10,10,10,18,18,96,NF,10,10,10,10,10,10,15,15,90,NF,10,10,10,10,10,10,15,15,90,NF,15,15,15,15,10,15,5,5,95,NF,15,15,15,15,10,15,5,5,95,NF,15,15,15,15,14,15,0,5,94,NF,15,15,15,15,14,15,0,5,94,NF,15,14,15,14,14,15,2,5,94,NF,26,40,30,96,NF,30,36,28,94,NF,30,38,28,96,NF,30,38,28,96,NF,30,39,27,96,NF,30,39,27,96,NF,30,36,28,94,NF,30,36,28,94,NF,30,35,28,93,NF,30,34,28,92,NF,29,34,28,91,NF,29,35,28,92,NF,28,34,28,90,NF,28,35,28,91,NF,28,35,28,91,NF,28,35,28,91,NF
Cyprus,F,PF,F,PF,F,PF,F,PF,F,PF,F,PF,F,PF,F,PF,F,F,F,F,F,2,2,5,2,2,3,7,7,30,F,2,2,5,2,2,3,5,3,24,F,2,2,5,2,2,3,0,0,16,F,2,2,5,2,2,3,0,2,18,F,2,2,5,2,2,3,0,2,18,F,2,2,5,2,2,3,0,0,16,F,2,2,5,2,2,3,0,0,16,F,2,2,5,3,2,3,0,1,18,F,2,8,8,18,F,4,6,8,18,F,4,6,8,18,F,5,10,7,22,F,5,9,8,22,F,5,9,8,22,F,5,9,8,22,F,5,9,8,22,F,5,9,8,22,F,5,9,8,22,F,5,9,8,22,F,6,10,9,25,F,5,11,9,25,F,5,11,9,25,F,5,10,9,24,F,4,10,9,23,F
Cyprus (Turkish),-,-,-,-,F,PF,F,PF,F,PF,F,PF,F,PF,F,PF,F,F,F,F,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Czech Republic,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,3,3,1,4,2,2,20,F,3,3,4,4,1,4,1,1,21,F,3,3,4,4,1,4,0,0,19,F,3,3,4,4,1,4,0,0,19,F,3,3,4,4,1,4,0,0,19,F,3,3,4,4,1,4,1,0,20,F,3,3,4,4,1,4,1,0,20,F,3,3,5,4,3,3,1,2,24,F,10,6,9,25,F,9,5,9,23,F,6,10,7,23,F,6,9,7,22,F,5,8,7,20,F,4,7,7,18,F,4,7,7,18,F,4,7,7,18,F,4,7,7,18,F,4,8,7,19,F,4,8,7,19,F,4,8,7,19,F,4,8,8,20,F,4,8,9,21,F,4,8,9,21,F,4,8,9,21,F
Czechoslovakia,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,PF,F,F,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Denmark,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,1,1,1,1,4,1,1,1,11,F,1,1,1,1,4,1,0,0,9,F,1,1,1,1,4,1,0,0,9,F,1,1,1,1,4,1,0,0,9,F,1,1,1,1,4,1,0,0,9,F,1,1,1,1,4,1,0,0,9,F,1,1,1,1,4,1,0,0,9,F,1,1,1,1,4,1,0,0,9,F,1,1,7,9,F,1,3,7,11,F,1,1,6,8,F,2,3,5,10,F,2,3,5,10,F,2,4,5,11,F,2,3,5,10,F,2,4,5,11,F,2,4,5,11,F,2,6,5,13,F,2,5,5,12,F,2,5,5,12,F,2,5,5,12,F,2,5,5,12,F,2,6,4,12,F,2,6,4,12,F
Djibouti,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,8,8,5,5,17,18,71,NF,9,7,8,8,9,7,5,5,58,PF,9,7,8,8,9,7,2,2,52,PF,10,7,10,9,9,7,0,0,52,PF,15,7,15,9,9,7,0,0,62,NF,15,7,11,9,9,7,0,4,62,NF,15,7,11,9,9,7,1,4,63,NF,15,7,11,10,9,7,0,4,63,NF,26,23,18,67,NF,21,25,19,65,NF,21,25,20,66,NF,22,24,21,67,NF,23,25,21,69,NF,23,25,21,69,NF,24,25,23,72,NF,24,26,23,73,NF,24,26,23,73,NF,24,26,23,73,NF,24,27,23,74,NF,24,27,23,74,NF,24,28,23,75,NF,24,28,23,75,NF,24,28,23,75,NF,24,29,24,77,NF
Dominica,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,1,1,4,4,2,4,2,2,20,F,1,1,4,4,2,4,0,0,16,F,1,1,4,4,2,4,0,0,16,F,1,1,4,4,2,4,0,0,16,F,1,1,4,4,2,4,0,0,16,F,1,1,4,4,2,4,0,0,16,F,1,1,4,4,2,4,0,0,16,F,1,1,4,4,2,4,0,0,16,F,0,6,10,16,F,0,6,8,14,F,3,7,7,17,F,2,8,7,17,F,3,10,6,19,F,4,10,6,20,F,5,11,6,22,F,5,11,6,22,F,5,11,7,23,F,5,11,7,23,F,5,11,7,23,F,6,11,7,24,F,6,11,8,25,F,6,11,8,25,F,6,12,8,26,F,6,11,8,25,F
Dominican Republic,F,PF,F,PF,F,PF,F,PF,F,PF,F,PF,F,PF,F,PF,F,F,F,F,F,2,2,4,5,6,6,1,1,27,F,2,2,6,6,6,6,0,7,35,PF,2,2,6,6,6,6,0,10,38,PF,4,2,6,4,6,8,0,2,32,PF,4,2,6,4,6,8,0,0,30,F,4,2,6,4,6,8,0,0,30,F,4,2,6,4,6,8,0,0,30,F,4,2,6,4,6,8,0,0,30,F,5,12,13,30,F,5,10,18,33,PF,8,16,15,39,PF,7,16,15,38,PF,7,16,14,37,PF,8,18,14,40,PF,7,19,13,39,PF,8,19,13,40,PF,8,18,13,39,PF,7,20,13,40,PF,7,21,13,41,PF,7,20,13,40,PF,8,20,13,41,PF,8,21,13,42,PF,8,21,13,42,PF,8,21,13,42,PF
Ecuador,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,2,3,5,3,2,4,2,2,23,F,3,4,5,5,2,4,18,0,41,PF,3,4,5,5,2,4,15,0,38,PF,7,9,8,10,2,4,0,0,40,PF,7,9,8,10,2,4,0,0,40,PF,7,9,8,8,2,4,1,1,40,PF,7,9,9,9,3,5,1,1,44,PF,7,7,6,7,5,8,0,0,40,PF,15,10,15,40,PF,14,14,13,41,PF,12,18,12,42,PF,11,19,11,41,PF,13,18,10,41,PF,13,18,10,41,PF,14,17,10,41,PF,15,18,11,44,PF,16,20,11,47,PF,17,23,12,52,PF,20,24,14,58,PF,21,25,15,61,NF,22,25,15,62,NF,23,26,15,64,NF,23,27,16,66,NF,23,27,16,66,NF
Egypt,PF,NF,PF,NF,PF,NF,PF,NF,PF,NF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,5,6,10,9,9,9,10,17,75,NF,8,7,10,8,9,9,11,19,81,NF,8,10,10,9,9,9,10,15,80,NF,8,8,15,15,9,9,1,5,70,NF,8,8,15,15,9,9,0,5,69,NF,8,11,14,12,9,10,0,5,69,NF,8,11,14,12,9,10,0,5,69,NF,10,11,14,10,9,10,0,5,69,NF,26,28,23,77,NF,28,27,24,79,NF,26,28,22,76,NF,24,24,20,68,NF,22,21,18,61,NF,22,22,18,62,NF,21,20,18,59,PF,21,21,18,60,PF,21,21,18,60,PF,23,24,18,65,NF,20,22,15,57,PF,22,24,16,62,NF,22,30,16,68,NF,24,33,16,73,NF,25,35,17,77,NF,26,34,17,77,NF
