,1979,,1980,,Jan.1981-Aug.1982,,Aug.1982-Nov.1983,,Nov.1983-Nov.1984,,Nov.1984-Nov.1985,,Nov.1985-Nov.1986,,Nov.1986-Nov.1987,,1988,1989,1990,1991,1992,1993,,,,,,,,,,1994,,,,,,,,,,1995,,,,,,,,,,1996,,,,,,,,,,1997,,,,,,,,,,1998,,,,,,,,,,1999,,,,,,,,,,2000,,,,,,,,,,2001,,,,,2002,,,,,2003,,,,,2004,,,,,2005,,,,,2006,,,,,2007,,,,,2008,,,,,2009,,,,,2010,,,,,2011,,,,,2012,,,,,2013,,,,,2014,,,,,2015,,,,,2016,,,,
El Salvador,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,2,2,8,7,7,6,4,5,41,PF,2,2,6,7,7,6,0,2,32,PF,2,4,6,7,7,6,7,2,41,PF,4,9,9,12,7,6,5,1,53,PF,4,9,12,12,7,6,3,0,53,PF,4,9,12,12,7,6,3,0,53,PF,4,9,7,7,7,6,0,0,40,PF,4,5,7,7,7,7,0,0,37,PF,5,22,8,35,PF,9,18,11,38,PF,11,17,14,42,NF,11,16,14,41,PF,11,17,15,43,PF,10,18,14,42,PF,10,18,14,42,PF,10,18,14,42,PF,10,19,14,43,PF,11,17,14,42,PF,9,17,14,40,PF,10,17,14,41,PF,9,16,14,39,PF,9,16,14,39,PF,9,17,13,39,PF,10,18,13,41,PF
Equatorial Guinea,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,5,5,9,10,5,5,19,18,76,NF,6,8,10,10,5,5,10,20,74,NF,9,9,10,10,5,5,10,20,78,NF,15,15,10,10,8,15,0,5,78,NF,15,15,10,10,8,15,0,5,78,NF,15,15,10,15,8,15,0,0,78,NF,15,15,10,15,8,15,0,0,78,NF,14,14,13,15,8,15,0,0,79,NF,26,29,25,80,NF,26,32,23,81,NF,26,35,28,89,NF,26,34,28,88,NF,27,34,27,88,NF,27,35,27,89,NF,27,35,27,89,NF,27,36,27,90,NF,27,36,27,90,NF,27,36,27,90,NF,27,37,27,91,NF,27,37,27,91,NF,27,36,27,90,NF,27,36,27,90,NF,27,36,28,91,NF,27,36,28,91,NF
Eritrea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10,10,10,5,5,20,20,80,NF,10,10,7,7,10,10,7,7,68,NF,10,10,7,7,10,10,7,7,68,NF,15,15,15,15,4,4,0,0,68,NF,15,15,15,15,4,4,0,1,69,NF,15,15,15,15,4,4,0,0,68,NF,15,15,15,15,4,4,0,0,68,NF,15,13,14,13,4,9,0,0,68,NF,26,33,20,79,NF,26,36,21,83,NF,28,38,23,89,NF,28,39,24,91,NF,28,39,24,91,NF,30,40,24,94,NF,30,40,24,94,NF,30,40,24,94,NF,30,40,24,94,NF,30,40,24,94,NF,30,40,24,94,NF,30,40,24,94,NF,30,40,24,94,NF,30,40,24,94,NF,30,40,24,94,NF,30,40,24,94,NF
Estonia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,F,PF,2,3,5,3,2,7,3,3,28,F,2,3,5,5,2,7,0,1,25,F,2,3,5,5,2,7,0,0,24,F,2,3,3,3,2,7,0,2,22,F,2,3,3,3,2,7,0,0,20,F,2,3,3,3,2,7,0,0,20,F,2,3,3,3,2,7,0,0,20,F,2,3,3,3,2,7,0,0,20,F,2,5,11,18,F,7,4,6,17,F,6,5,6,17,F,5,6,6,17,F,5,5,6,16,F,5,5,6,16,F,4,6,6,16,F,4,5,6,15,F,4,6,7,17,F,5,6,7,18,F,5,6,7,18,F,5,4,7,16,F,5,4,7,16,F,5,4,7,16,F,5,4,7,16,F,5,4,7,16,F
Ethiopia,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,10,9,8,9,10,8,3,16,73,NF,10,8,10,3,10,4,5,9,59,PF,10,8,10,5,10,4,0,10,57,PF,10,8,10,15,10,4,0,5,62,NF,10,8,10,15,10,4,0,5,62,NF,10,10,10,15,10,4,0,5,64,NF,10,10,8,15,10,4,0,5,62,NF,10,10,8,13,7,12,0,4,64,NF,23,20,18,61,NF,23,23,18,64,NF,24,23,19,66,NF,25,23,20,68,NF,27,28,20,75,NF,27,30,20,77,NF,27,30,19,76,NF,25,33,18,76,NF,27,33,18,78,NF,27,33,18,78,NF,28,35,18,81,NF,28,35,19,82,NF,27,35,19,81,NF,28,36,19,83,NF,28,36,19,83,NF,29,38,19,86,NF
Fiji,F,F,F,F,F,F,F,F,F,F,F,F,F,F,NF,NF,PF,PF,PF,PF,PF,4,5,7,8,7,7,9,8,55,PF,5,7,8,9,7,7,3,10,56,PF,5,8,8,9,7,7,3,10,57,PF,8,10,8,12,7,7,3,5,60,PF,8,10,8,12,7,7,3,5,60,PF,10,11,8,13,7,7,1,2,59,PF,10,11,7,10,7,7,2,4,58,PF,6,8,7,5,5,9,2,2,44,PF,8,11,14,33,PF,6,11,12,29,F,6,13,10,29,F,7,13,10,30,F,7,11,10,28,F,12,19,8,39,PF,11,18,8,37,PF,14,18,8,40,PF,16,27,11,54,PF,18,27,12,57,PF,18,27,13,58,PF,18,26,12,56,PF,18,24,12,54,PF,18,22,12,52,PF,16,20,12,48,PF,16,16,12,44,PF
Finland,F,PF,F,PF,F,PF,F,PF,F,PF,F,PF,F,PF,F,PF,F,F,F,F,F,1,1,5,2,3,3,1,1,17,F,1,1,5,2,3,3,0,0,15,F,1,1,5,2,3,3,0,0,15,F,1,1,5,2,3,3,0,0,15,F,1,1,5,2,3,3,0,0,15,F,1,1,5,2,3,3,0,0,15,F,1,1,4,2,3,3,1,0,15,F,1,1,4,2,3,3,0,0,14,F,1,3,6,10,F,1,2,7,10,F,2,2,5,9,F,2,3,4,9,F,2,3,4,9,F,2,3,4,9,F,2,3,4,9,F,3,3,4,10,F,3,3,4,10,F,3,3,4,10,F,3,3,4,10,F,4,3,4,11,F,4,3,4,11,F,4,3,4,11,F,4,3,4,11,F,4,4,4,12,F
France,F,PF,F,PF,F,PF,F,PF,F,PF,F,PF,F,PF,F,PF,F,F,F,F,F,1,1,6,2,2,5,1,1,19,F,1,1,6,3,2,5,0,9,27,F,1,1,6,3,2,5,10,2,30,F,1,1,7,5,3,6,1,2,26,F,1,1,7,5,3,6,0,3,26,F,1,1,7,5,3,6,1,3,27,F,1,1,6,4,3,6,1,2,24,F,1,1,6,4,3,6,0,0,21,F,2,5,10,17,F,5,7,5,17,F,4,10,5,19,F,4,9,7,20,F,5,9,7,21,F,5,9,7,21,F,6,9,7,22,F,6,9,7,22,F,6,10,7,23,F,6,10,7,23,F,6,11,7,24,F,5,10,7,22,F,5,10,7,22,F,5,11,7,23,F,6,15,7,28,F,6,13,7,26,F
Gabon,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,PF,PF,PF,3,8,7,4,4,4,14,14,58,PF,8,6,8,4,4,4,13,5,52,PF,9,6,9,4,4,4,5,8,49,PF,10,7,13,6,4,4,2,4,50,PF,10,7,15,6,6,4,2,0,50,PF,10,7,15,7,6,4,2,1,52,PF,10,7,15,7,6,4,4,2,55,PF,10,7,10,7,10,10,0,1,55,PF,26,11,15,52,PF,20,20,18,58,PF,22,20,20,62,NF,24,21,21,66,NF,24,23,20,67,NF,24,23,22,69,NF,24,23,22,69,NF,24,23,22,69,NF,24,25,22,71,NF,24,23,22,69,NF,24,24,22,70,NF,24,25,22,71,NF,24,24,22,70,NF,24,24,22,70,NF,24,22,22,68,NF,24,25,22,71,NF
Georgia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PF,10,10,10,8,10,8,2,15,73,NF,5,5,8,8,8,10,10,16,70,NF,6,8,8,8,8,10,10,10,68,NF,8,8,12,7,8,10,2,0,55,PF,8,8,12,7,8,10,2,1,56,PF,8,8,12,7,8,10,0,4,57,PF,6,6,10,7,8,10,0,0,47,PF,7,7,10,7,8,10,3,1,53,PF,20,18,15,53,PF,18,21,15,54,PF,16,23,15,54,PF,14,26,16,56,PF,13,26,17,56,PF,13,27,17,57,PF,14,28,18,60,PF,14,29,17,60,PF,15,26,18,59,PF,14,22,19,55,PF,13,21,18,52,PF,12,20,17,49,PF,12,19,16,47,PF,12,20,16,48,PF,13,20,16,49,PF,13,21,16,50,PF
Germany,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,F,F,F,1,1,1,1,1,2,2,2,11,F,2,2,2,2,1,2,3,4,18,F,2,2,2,2,1,2,0,10,21,F,2,2,2,2,1,2,0,0,11,F,2,2,2,2,1,2,0,0,11,F,3,3,2,2,1,2,0,0,13,F,3,3,2,2,1,2,0,0,13,F,3,3,2,2,1,2,0,0,13,F,2,8,5,15,F,2,6,7,15,F,5,6,5,16,F,5,6,5,16,F,5,6,5,16,F,6,6,4,16,F,6,6,4,16,F,6,6,4,16,F,6,7,4,17,F,6,7,4,17,F,6,7,4,17,F,6,7,4,17,F,6,7,4,17,F,6,8,4,18,F,6,10,4,20,F,6,10,4,20,F
"Germany, East",NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,PF,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Germany, West",F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ghana,PF,PF,PF,PF,PF,PF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,PF,4,7,8,8,10,10,6,10,63,NF,4,7,8,8,10,9,6,10,62,NF,4,7,8,8,10,9,8,8,62,NF,6,13,11,10,6,9,0,4,59,PF,6,13,11,10,6,9,0,5,60,PF,6,13,11,10,6,9,1,5,61,NF,7,13,11,10,6,9,0,5,61,NF,7,12,9,7,6,9,1,4,55,PF,4,12,11,27,F,7,11,12,30,F,9,9,10,28,F,8,9,9,26,F,9,10,9,28,F,8,9,9,26,F,8,10,9,27,F,8,9,9,26,F,8,9,9,26,F,8,9,9,26,F,8,10,10,28,F,8,10,10,28,F,8,10,10,28,F,8,10,10,28,F,8,12,11,31,PF,9,13,11,33,PF
Greece,F,F,F,F,F,F,F,F,F,F,F,PF,F,PF,F,PF,F,F,F,F,F,2,5,2,2,2,2,7,8,30,F,3,5,3,3,2,2,4,4,26,F,3,5,3,3,2,2,3,8,29,F,5,8,4,4,3,3,0,0,27,F,5,8,4,4,3,3,0,3,30,F,5,5,5,5,3,3,2,2,30,F,5,5,5,5,1,3,1,5,30,F,5,5,5,5,1,3,1,5,30,F,16,6,8,30,F,14,6,8,28,F,8,14,6,28,F,8,14,6,28,F,8,14,6,28,F,8,12,5,25,F,9,13,5,27,F,9,14,6,29,F,9,14,6,29,F,9,15,6,30,F,9,15,6,30,F,12,19,10,41,PF,14,20,12,46,PF,16,21,14,51,PF,15,20,13,48,PF,13,18,13,44,PF
Grenada,NF,NF,NF,NF,NF,NF,NF,NF,F,PF,F,PF,F,PF,F,PF,F,F,F,F,F,2,2,3,1,5,5,2,2,22,F,2,2,3,1,5,7,0,0,20,F,2,2,3,1,5,7,0,0,20,F,2,2,4,1,5,6,0,0,20,F,2,2,4,1,5,6,0,0,20,F,2,2,4,1,5,6,0,0,20,F,2,2,4,1,5,6,0,0,20,F,2,2,4,1,5,6,0,0,20,F,4,3,9,16,F,5,3,6,14,F,6,5,5,16,F,5,10,5,20,F,7,10,6,23,F,8,9,6,23,F,8,11,5,24,F,8,11,5,24,F,8,11,5,24,F,8,11,5,24,F,8,11,5,24,F,7,11,5,23,F,8,11,5,24,F,7,11,5,23,F,8,11,5,24,F,9,12,5,26,F
Guatemala,PF,PF,PF,PF,PF,PF,PF,NF,PF,NF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,5,4,4,4,4,4,14,15,59,PF,5,4,7,7,4,4,13,16,60,PF,5,4,7,7,4,4,10,15,56,PF,8,6,11,12,6,6,2,5,56,PF,8,6,11,12,6,6,5,5,59,PF,8,6,11,12,6,7,5,5,60,PF,8,6,10,9,6,7,3,5,54,PF,7,6,10,9,6,7,1,3,49,PF,16,27,6,49,PF,16,30,12,58,PF,17,30,15,62,NF,17,26,15,58,PF,17,25,16,58,PF,17,26,16,59,PF,17,25,16,58,PF,16,26,18,60,PF,16,26,18,60,PF,16,25,18,59,PF,16,26,18,60,PF,16,25,18,59,PF,17,25,18,60,PF,18,24,18,60,PF,18,23,17,58,PF,18,23,17,58,PF
Guinea,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,PF,10,10,9,7,5,5,15,2,63,NF,10,10,9,7,6,8,11,5,66,NF,10,10,9,8,6,8,0,10,61,NF,15,15,9,9,6,7,0,2,63,NF,15,15,15,9,6,7,0,2,69,NF,15,15,15,9,6,7,0,4,71,NF,15,15,15,9,6,7,0,4,71,NF,15,12,15,10,6,10,0,3,71,NF,26,26,22,74,NF,25,30,19,74,NF,24,29,18,71,NF,25,30,18,73,NF,23,28,16,67,NF,22,29,16,67,NF,21,29,16,66,NF,22,27,17,66,NF,24,30,17,71,NF,17,25,17,59,PF,18,27,17,62,NF,18,27,17,62,NF,19,28,17,64,NF,19,28,17,64,NF,19,29,17,65,NF,20,29,17,66,NF
Guinea-Bissau,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,PF,PF,3,3,7,7,10,8,5,5,48,PF,3,3,8,7,10,8,4,7,50,PF,3,3,8,7,10,8,5,5,49,PF,5,5,12,7,10,8,5,5,57,PF,5,5,14,10,10,12,0,1,57,PF,5,5,14,10,10,12,0,1,57,PF,5,5,14,10,10,12,0,0,56,PF,5,5,14,10,10,12,0,0,56,PF,15,23,18,56,PF,15,27,18,60,PF,17,27,19,63,NF,15,23,17,55,PF,13,17,17,47,PF,14,19,15,48,PF,15,23,15,53,PF,15,22,15,52,PF,15,24,15,54,PF,15,25,17,57,PF,15,25,17,57,PF,19,29,17,65,NF,19,29,19,67,NF,17,24,18,59,PF,18,24,18,60,PF,17,24,18,59,PF
Guyana,PF,PF,PF,PF,PF,PF,PF,NF,PF,NF,PF,NF,PF,NF,PF,NF,NF,NF,NF,PF,PF,3,3,8,7,2,7,5,6,41,PF,2,2,7,6,2,7,1,1,28,F,2,2,7,6,2,7,0,0,26,F,2,2,7,6,2,7,0,0,26,F,2,2,7,4,2,5,0,0,22,F,2,2,7,4,2,5,0,0,22,F,2,2,7,4,2,5,0,0,22,F,3,2,7,3,2,5,0,0,22,F,5,5,13,23,F,5,5,11,21,F,4,8,8,20,F,4,9,10,23,F,6,12,9,27,F,7,13,9,29,F,6,14,11,31,PF,7,13,10,30,F,7,13,10,30,F,7,13,10,30,F,8,15,10,33,PF,9,14,10,33,PF,10,13,11,34,PF,11,14,11,36,PF,11,14,11,36,PF,11,16,11,38,PF
Haiti,PF,PF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,F,F,PF,NF,NF,NF,NF,NF,NF,10,8,10,8,10,10,17,14,87,NF,8,5,8,5,7,7,5,6,51,PF,7,5,8,5,7,7,15,5,59,PF,10,7,13,5,7,7,5,5,59,PF,10,7,13,7,7,7,5,3,59,PF,10,7,13,7,7,7,5,2,58,PF,10,7,13,7,8,8,5,0,58,PF,10,7,13,7,6,10,5,1,59,PF,17,36,19,72,NF,17,39,23,79,NF,19,39,21,79,NF,19,28,19,66,NF,19,30,19,68,NF,16,24,19,59,PF,15,23,18,56,PF,15,20,18,53,PF,15,17,17,49,PF,14,17,18,49,PF,14,18,18,50,PF,14,17,18,49,PF,14,18,18,50,PF,15,17,18,50,PF,16,18,18,52,PF,17,17,18,52,PF
Honduras,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,PF,PF,PF,F,F,3,2,10,10,4,3,15,8,55,PF,3,2,10,10,4,3,5,8,45,PF,3,2,10,10,4,5,0,0,34,PF,4,3,12,12,4,5,4,3,47,PF,5,5,12,12,4,9,0,0,47,PF,5,6,12,12,4,9,0,0,48,PF,5,6,12,12,4,9,0,0,48,PF,5,6,10,8,4,10,1,1,45,PF,14,17,12,43,PF,16,19,16,51,PF,14,22,16,52,PF,14,22,15,51,PF,16,22,14,52,PF,15,22,14,51,PF,15,22,14,51,PF,15,23,14,52,PF,17,27,15,59,PF,16,30,15,61,NF,17,30,15,62,NF,17,30,15,62,NF,18,31,15,64,NF,19,34,15,68,NF,18,34,15,67,NF,18,33,15,66,NF
Hong Kong,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,8,8,1,4,2,3,30,F,2,2,8,8,3,5,1,1,30,F,2,2,9,9,3,5,0,0,30,F,2,2,12,9,6,8,0,2,41,PF,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,9,8,28,F,11,10,8,29,F,11,11,8,30,F,11,10,9,30,F,12,11,10,33,PF,12,12,9,33,PF,11,12,9,32,PF,11,13,9,33,PF,11,15,9,35,PF,12,16,9,37,PF,13,18,10,41,PF,13,17,9,39,PF,13,20,9,42,PF
Hungary,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,PF,F,F,F,2,2,7,6,2,5,4,2,30,F,2,2,8,7,6,6,6,1,38,PF,2,2,8,7,2,8,0,5,34,PF,3,2,9,6,2,9,0,0,31,PF,3,2,6,6,2,9,0,0,28,F,3,2,6,6,2,9,0,0,28,F,3,2,6,6,2,5,1,5,30,F,4,4,6,6,2,4,1,1,28,F,2,8,13,23,F,4,10,9,23,F,4,8,8,20,F,5,8,8,21,F,5,8,8,21,F,5,8,8,21,F,5,9,7,21,F,5,9,7,21,F,7,9,7,23,F,10,11,9,30,F,12,13,11,36,PF,12,13,11,36,PF,11,13,11,35,PF,11,14,12,37,PF,12,15,13,40,PF,12,17,15,44,PF
Iceland,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,1,1,1,1,3,5,1,1,14,F,1,1,1,1,3,5,0,0,12,F,1,1,1,1,3,5,0,0,12,F,1,1,1,1,3,5,0,0,12,F,1,1,1,1,3,5,0,0,12,F,1,1,1,1,3,5,0,0,12,F,1,1,1,1,3,5,0,0,12,F,1,1,1,1,3,5,0,0,12,F,0,2,6,8,F,1,2,5,8,F,1,3,4,8,F,1,4,4,9,F,1,4,4,9,F,1,4,4,9,F,1,4,4,9,F,1,4,4,9,F,1,5,4,10,F,1,5,6,12,F,3,5,6,14,F,3,5,6,14,F,3,4,5,12,F,4,6,6,16,F,4,5,6,15,F,4,5,6,15,F
India,F,PF,F,PF,F,PF,F,PF,F,PF,F,PF,F,PF,F,PF,F,F,F,F,F,2,2,8,3,3,8,4,8,38,PF,2,2,8,3,3,8,11,12,49,PF,2,2,8,3,3,8,2,20,48,PF,2,2,12,5,3,8,3,5,40,PF,2,2,12,5,3,8,2,3,37,PF,2,2,12,5,3,8,2,3,37,PF,2,2,12,5,3,8,5,5,42,PF,7,3,9,5,3,8,2,5,42,PF,15,16,11,42,PF,13,20,12,45,PF,11,17,13,41,PF,10,17,11,38,PF,10,16,11,37,PF,9,16,10,35,PF,10,16,9,35,PF,10,17,9,36,PF,9,15,9,33,PF,9,17,9,35,PF,9,19,9,37,PF,10,19,9,38,PF,10,20,9,39,PF,11,20,9,40,PF,11,21,9,41,PF,11,22,10,43,PF
Indonesia,PF,NF,PF,NF,PF,NF,PF,NF,PF,NF,PF,NF,PF,NF,PF,NF,NF,NF,NF,PF,PF,4,4,10,9,3,8,8,12,58,PF,4,4,10,10,3,8,12,20,71,NF,8,8,10,10,3,10,5,20,74,NF,12,10,15,15,3,12,5,5,77,NF,12,10,15,15,3,12,5,5,77,NF,12,10,5,5,3,12,3,3,53,PF,10,9,5,5,3,9,3,5,49,PF,8,7,5,5,6,10,3,3,47,PF,19,25,9,53,PF,19,25,12,56,PF,19,24,12,55,PF,20,23,15,58,PF,21,23,14,58,PF,17,22,15,54,PF,17,22,15,54,PF,18,21,15,54,PF,18,19,15,52,PF,18,20,15,53,PF,16,18,15,49,PF,16,18,15,49,PF,16,18,15,49,PF,16,18,15,49,PF,16,18,15,49,PF,16,18,15,49,PF
Iran,PF,PF,PF,PF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,7,7,10,10,10,10,10,17,81,NF,8,7,10,10,10,10,10,18,83,NF,10,10,10,10,10,10,0,20,80,NF,10,15,15,15,10,10,0,5,80,NF,10,15,15,13,10,10,0,5,78,NF,10,14,14,13,10,10,0,5,76,NF,10,12,15,10,8,8,0,5,68,NF,15,13,15,12,4,8,0,5,72,NF,26,29,20,75,NF,25,32,19,76,NF,27,32,20,79,NF,28,33,19,80,NF,28,36,20,84,NF,29,34,21,84,NF,29,34,22,85,NF,29,34,22,85,NF,30,36,23,89,NF,30,37,24,91,NF,30,38,24,92,NF,30,38,24,92,NF,30,36,24,90,NF,30,36,24,90,NF,30,36,24,90,NF,30,36,24,90,NF
Iraq,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,10,10,10,10,10,10,20,19,99,NF,10,10,10,10,10,10,20,20,100,NF,10,10,10,10,10,10,20,20,100,NF,15,15,15,15,15,15,5,5,100,NF,15,15,15,15,15,15,5,5,100,NF,15,15,14,14,15,15,5,5,98,NF,15,15,14,14,15,15,5,5,98,NF,15,15,15,15,15,15,5,5,100,NF,30,40,26,96,NF,29,39,27,95,NF,22,29,15,66,NF,23,31,16,70,NF,22,33,16,71,NF,22,32,16,70,NF,22,31,16,69,NF,21,30,16,67,NF,22,27,16,65,NF,23,29,16,68,NF,23,30,16,69,NF,23,28,16,67,NF,23,30,16,69,NF,23,33,16,72,NF,23,32,16,71,NF,23,32,16,71,NF
Ireland,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,2,1,3,2,2,3,2,1,16,F,2,1,3,2,2,3,1,1,15,F,3,2,3,2,2,3,0,4,18,F,3,2,3,4,2,3,0,2,19,F,3,4,3,4,2,5,0,0,21,F,3,3,3,3,2,6,0,0,20,F,3,3,3,3,2,6,0,1,21,F,3,3,2,3,2,5,0,0,18,F,5,4,7,16,F,5,6,5,16,F,3,7,6,16,F,3,7,5,15,F,3,7,5,15,F,4,7,5,16,F,4,6,5,15,F,4,6,5,15,F,4,6,5,15,F,5,6,5,16,F,4,6,6,16,F,5,6,5,16,F,5,6,5,16,F,5,6,5,16,F,5,6,6,17,F,6,6,6,18,F
Israel,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,4,5,3,2,1,2,3,10,30,F,3,4,3,2,1,2,5,10,30,F,2,2,3,1,1,1,5,15,30,F,3,6,2,4,2,2,4,5,28,F,3,8,2,6,2,2,0,5,28,F,3,8,2,6,2,2,1,4,28,F,3,8,2,6,2,2,2,5,30,F,4,7,4,6,2,2,1,4,30,F,6,16,8,30,F,7,12,8,27,F,5,14,9,28,F,5,13,10,28,F,5,13,10,28,F,6,13,10,29,F,6,14,8,28,F,7,16,8,31,PF,7,14,8,29,F,7,15,7,29,F,7,15,8,30,F,7,15,9,31,PF,7,14,9,30,F,7,14,9,30,F,7,14,11,32,PF,8,14,11,33,PF
